neighbor; weight; distribution
1;0.868151;8.42166e-05
2;0.682436;4.57959e-05
1;0.969049;9.45184e-05
3;0.0646743;5.5723e-06
2;0.257301;2.06503e-05
2;0.935985;7.11756e-05
2;0.556999;4.22137e-05
1;0.245532;2.21487e-05
1;0.649616;5.8673e-05
1;0.448725;2.68313e-05
2;0.813626;6.16699e-05
3;0.771963;4.95888e-05
1;0.574975;5.36392e-05
2;0.850098;6.46668e-05
2;0.282137;2.44198e-05
3;0.851506;5.12277e-05
1;0.225794;2.00181e-05
3;0.946665;3.97553e-05
4;0.611125;3.9966e-05
1;0.398265;4.48828e-05
1;0.948296;7.64435e-05
3;0.0332374;2.45837e-06
