neighbor; weight; distribution
1;0.899478;8.7761e-05
2;0.630526;5.22244e-05
1;0.417544;4.286e-05
3;0.805343;7.16735e-05
2;0.982366;8.21184e-05
2;0.0920005;7.08331e-06
2;0.603528;4.4901e-05
1;0.989912;8.9802e-05
1;0.304551;2.73728e-05
1;0.821131;8.72808e-05
2;0.190612;1.41666e-05
3;0.322182;2.20903e-05
1;0.37437;3.4216e-05
2;0.0391147;3.48163e-06
3;0.618502;3.69773e-05
1;0.64737;5.81072e-05
3;0.908518;8.59602e-05
4;0.490708;2.86934e-05
1;0.370207;4.10592e-05
1;0.291198;2.46115e-05
3;0.76651;6.67512e-05
