neighbor; weight; distribution
1;0.610142;3.91466e-05
2;0.562428;5.68936e-05
1;0.0520355;6.95367e-06
3;0.18287;2.15166e-05
2;0.122423;1.26899e-05
2;0.0462043;5.92349e-06
2;0.22021;2.60353e-05
1;0.880125;0.000109901
1;0.468718;5.97266e-05
1;0.539838;6.96303e-05
2;0.253878;2.59885e-05
3;0.823108;6.91152e-05
1;0.741326;9.24112e-05
2;0.124855;1.43054e-05
2;0.748267;6.91621e-05
3;0.298954;2.65738e-05
1;0.8478;0.000110837
3;0.057121;7.39852e-06
4;0.13578;1.0372e-05
1;0.0895222;1.3603e-05
1;0.902377;0.000104235
3;0.414071;4.80904e-05
