map,neighbor,p RAAS,RAAS,p AAS,AAS,p inv,Invasion,p tc,TC,p ins,Insurgency,p des,Destruction
Sumari,4,0.04671099133320487,1.7573670865716668,0.018142396982922207,-0.06263291342833718,0.0613662160119899,1.9373670865716714,0.005284014813054005,0.3073670865716629,0.0940562051327679,1.5773670865716627,0,0
Logar,3,0.05645923990357172,1.3624360983933321,0.0738228107180772,1.292436098393334,0,0,0.08058710828237037,0.6024360983933323,0.10131480264106255,0.9124360983933326,0,0
Kokan,3,0.05816149720393898,2.3024360983933327,0.08989142290538586,2.5624360983933334,0.02071753474069865,0.3024360983933321,0,0,0.164336917363133,1.2224360983933322,0,0
Chora,2,0.06830879197774518,1.2359944993142244,0.07368993537107561,1.1159944993142243,0.06506632534330656,0.5959944993142245,0,0,0.1402685520180672,0.24599449931422443,0,0
Mestia,2,0.04988857312459673,0.09599449931422452,0.010526435915667808,-0.6840055006857755,0.06994300599704896,0.8259944993142241,0.07637007602886378,-0.25400550068577554,0,0,0,0
FoolsRoad,2,0.03857050969691245,-0.25400550068577554,0.010374869616218595,-0.7340055006857755,0.07925613125009444,1.3559944993142246,0,0,0,0,0.11944875956309256,-0.4540055006857755
Narva,1,0.036677767165096006,-0.4967952832402951,0.010457962350680984,-0.8067952832402951,0.0821485095116102,1.053204716759705,0.07976012244226668,-0.39679528324029467,0,0,0.35604998446819625,-0.32679528324029516
Fallujah,5,0.0637367042458124,5.661979413923872,0.028031901928659165,1.6619794139238735,0.040867044456132345,2.9619794139238707,0,0,0.16359982434783576,4.20197941392387,0,0
Belaya,2,0.06054946657432167,0.5959944993142245,0.04192710516341227,0.10599449931422453,0.07684379147713359,1.0359944993142238,0,0,0,0,0,0
Anvil,2,0.020845978199218535,-0.7440055006857755,0.013507566638236202,-0.7340055006857755,0.05877600638746071,0.7459944993142245,0,0,0,0,0,0
Mutaha,5,0.0815094983428966,7.351979413923871,0.07361453392468346,4.871979413923871,0.016291201299039024,1.861979413923879,0.0005711564212389977,1.3719794139238712,0,0,0,0
Kamdesh,1,0.0711756545631969,0.4132047167597048,0.026488341623931218,-0.5867952832402952,0.03849785614256666,0.05320471675970481,0.13430041068441076,0.21320471675970462,0.06810011660677497,-0.7167952832402951,0,0
AlBasrah,3,0.05849245318778674,1.6024360983933348,0.06367714169181014,1.5824360983933339,0.02272040930796837,0.7224360983933322,0,0,0.13178729307830958,0.8624360983933326,0,0
Kohat,2,0.004612732506459784,-0.7540055006857755,0.01504357776534975,-0.7540055006857755,0.05638748007674683,0.24599449931422443,0,0,0.05718042006982704,-0.5540055006857754,0,0
Skorpo,5,0.01013448800606334,0.49197941392387046,0.018105914364166323,0.40197941392387193,0.058625060145663,2.8319794139238716,0.12146346019863015,3.0119794139238714,0,0,0,0
GooseBay,2,0.05434972370115884,0.38599449931422447,0.09477052296170398,1.0559944993142276,0.017601856464221775,-0.7540055006857755,0,0,0,0,0,0
Manic,3,0.06235669514208271,0.6524360983933324,0.026485240263327194,-0.3075639016066676,0.07305098555597267,1.5824360983933339,0.13096201117397221,1.4824360983933322,0,0,0,0
LashkarValley,1,0.027973245995224532,-0.5867952832402952,0.08101670078608436,0.4932047167597049,0.03297142491393833,0.05320471675970481,0.11945316147277939,-0.09679528324029515,0.026757804192145983,-0.7567952832402952,0,0
Gorodok,4,0.028272336092025403,0.43736708657166345,0.08035234519285087,4.547367086571663,0.06998784290074762,2.1073670865716636,0,0,0.05259806455007587,-0.2626329134283367,0.1269305721176895,2.087367086571664
BlackCoast,5,0.03361147085259472,1.9519794139238786,0.05445816914359035,4.201979413923873,0.022268439891463866,1.6419794139238775,0,0,0,0,0,0
Tallil,1,0.04794779702620345,-0.08679528324029515,0.04163879070090298,-0.4167952832402949,0.028335647152136535,-0.42679528324029514,0.12173380689715495,0.05320471675970481,0,0,0,0
Yehorivka,4,0.019654385159888578,0.49736708657166284,0.05397631399126375,2.4773670865716637,0.008277230974059968,0.647367086571663,0.1295146715852587,1.2873670865716629,0,0,0.014768267896328027,0.7473670865716631
Sumari,4,0.055023677861924546,2.7273670865716664,0.05788596277149277,3.717367086571664,0.04172094787301118,2.9373670865716717,0.02367576117065659,-0.602632913428337,0.08080111350885899,1.7173670865716641,0,0
Logar,3,0.08896451459479983,2.5924360983933328,0.06918476195921022,2.292436098393334,0,0,0.16321687715889788,1.5224360983933323,0.07389590587641337,-0.04756390160666732,0,0
Kokan,3,0.03523948037683213,0.7824360983933352,0.006682132832220577,-0.6475639016066663,0.009510902302902033,-0.17756390160666788,0,0,0.15225978755581707,3.8524360983933343,0,0
Chora,2,0.013828225266078319,-0.26400550068577555,0.05149282680466013,0.6159944993142243,0.07955965412030148,1.0359944993142245,0,0,0.05488626043196773,-0.25400550068577554,0,0
Mestia,2,0.041610320434015254,0.09599449931422452,0.03146041480619614,-0.18400550068577545,0.05937548489648216,0.4759944993142242,0.07963351444738756,-0.25400550068577554,0,0,0,0
